Date,Close,Volume,SMA_20,SMA_50,SMA_200,RSI,MACD,Signal,BB_Upper,BB_Lower,Daily_Return,Volume_Change
2020-10-15,0.04252745984021811,0.14880550930397676,0.0,0.0,0.0,0.6663237862645225,0.6276667627119503,0.5370903095551997,0.003145765375208498,0.0,0.3503696261748068,0.27886038165483207
2020-10-16,0.042101271119245,0.27521017059567743,0.0017729930457149878,0.0006303429320139164,0.00031192103805843807,0.6165596259639687,0.628428251316991,0.5483819188842484,0.005565483293376472,0.00111044520021375,0.3542289542132347,0.44519715972408613
2020-10-19,0.03138835730633727,0.18379772617166615,0.003375511536642395,0.001017283884125919,0.000590882105117041,0.5593193047717128,0.6157363981341887,0.5543515408431395,0.005766817521832057,0.004119207695109539,0.26497314843590203,0.17196148284755236
2020-10-20,0.034168026577460764,0.14747918895814457,0.004769197467066166,0.0014207214103385546,0.0008716601605529561,0.5474598073658704,0.6078396503100978,0.557221055478828,0.006464001540439246,0.00620870544193286,0.38241493081502476,0.2149842128485934
2020-10-21,0.03284914526526028,0.16275963111119016,0.006909786602214307,0.0019171674161002628,0.0011552902170404167,0.5135677399987361,0.5991753253648096,0.5574252000808015,0.004704852153847083,0.012275566059438692,0.3463508993494818,0.2838479754520488
2020-10-22,0.03666348074302028,0.1272998624669125,0.009159059684244575,0.0022927035629464187,0.0014410486040828951,0.5863954517926113,0.595787673737896,0.5567707761241543,0.0025171099014582587,0.018993042615140343,0.39146028977780994,0.21261733230433194
2020-10-23,0.03903758764861687,0.10016884777980134,0.010975742241741582,0.002746638102493648,0.0017152755170709577,0.5310041201457812,0.5949512696558032,0.5560453387571241,0.0016334500615338143,0.023526644816610154,0.3786839037084861,0.2185832436694984
2020-10-26,0.026072316002194396,0.28375925507465005,0.011529796853687713,0.002918321543091351,0.0019264234377976974,0.5038921241074477,0.5788531579080335,0.5515790922228418,0.001097615015965725,0.025178241673807666,0.24493914538803468,0.5891563048427826
2020-10-27,0.023698476971343863,0.17325178790845183,0.01215311532577612,0.0029914112791487035,0.002098567843339838,0.3938317397844767,0.5629058526358435,0.5441566012811397,0.0,0.02753592725509646,0.336848344151926,0.155584388718266
2020-10-28,0.0002436990502232561,0.4382564916181152,0.01127621973402737,0.0025226206524866512,0.0021429354374666865,0.20337278409797724,0.5235241304655092,0.5287123195739669,0.00287200231975826,0.022878288147828885,0.14895993998990723,0.6136953543926493
2020-10-29,0.006979610445829287,0.2799628907884927,0.010523970955938378,0.0022621776955271677,0.0022172101724987625,0.20810500028423026,0.5002215659448129,0.510731926596593,0.004225521557399636,0.020003777584888027,0.42006026279033576,0.1523050450472224
