Date,Close,High,Low,Open,Volume
2020-01-02,151.8295135498047,151.9334939984884,149.66484802100678,150.09021733882216,22622100
2020-01-03,149.93899536132812,151.19620847768044,149.4096455068012,149.6554253847614,21116200
2020-01-06,150.32656860351562,150.3927445508696,147.94447970171677,148.48329153461876,20813700
2020-01-07,148.95594787597656,150.93156268718585,148.71018237427404,150.60072617609066,21634100
2020-01-08,151.3285369873047,151.99968621410528,149.30565620651117,150.23201839712107,27746500
2020-01-09,153.21913146972656,153.34202144246635,152.21714548072572,152.98281347519972,21385000
2020-01-10,152.51014709472656,154.28726267501992,152.35890014667973,153.90915972860566,20725900
2020-01-13,154.3439483642578,154.3723053588524,152.43449566058825,152.90713146876487,21626500
2020-01-14,153.25694274902344,154.64649364113086,152.86937779572435,154.44798018924195,23477400
2020-01-15,154.2494354248047,154.9678511775123,153.6728335108503,153.72008555883195,21417900
2020-01-16,157.07579040527344,157.14196634501582,155.05290962474845,155.35540348008348,23865400
2020-01-17,157.9549102783203,158.30465619935018,156.37629381209493,158.25738972858082,34371700
2020-01-21,157.38775634765625,158.98526801417273,157.32158039758605,157.55789835006,29517200
2020-01-22,156.6315155029297,158.3235598983311,156.61260603057121,158.23847448456866,24138800
2020-01-23,157.5957489013672,157.6713723921675,156.22510738691315,157.09475589555782,19680800
2020-01-24,156.0076446533203,158.3613765241698,155.44993777757642,158.3424670503659,24918100
2020-01-27,153.39869689941406,154.4385015834786,151.4325299482661,152.3305352170298,32078100
2020-01-28,156.4046630859375,156.68823305925625,154.1454642817214,154.81659911684454,24899900
2020-01-29,158.8434600830078,159.51460937852576,156.62208010292088,158.65440861589227,34754500
2020-01-30,163.3240203857422,164.52451931588942,161.44292477265313,164.52451931588942,51597500
2020-01-31,160.9136199951172,162.9648581406356,160.29919907352217,162.78526860838573,36142700
2020-02-03,164.83653259277344,164.94996061485972,161.07433972491364,161.1026967304352,30107000
2020-02-04,170.2623291015625,170.75387441009062,166.66084633572413,167.44542355504944,36433300
2020-02-05,170.05441284179688,174.11908498739666,168.64596691048436,173.95839049164914,39186300
2020-02-06,173.5802459716797,173.75984990152529,170.20561909708994,171.06581980124434,27751400
2020-02-07,173.82603454589844,175.47081270658518,172.4931978169128,172.8429581987189,33529100
2020-02-10,178.372802734375,178.5051402220091,173.22107381930567,173.53301527380845,35844300
2020-02-11,174.345947265625,180.26334402188803,173.45738939363605,180.21607754330697,53159900
2020-02-12,174.60113525390625,175.67874437299267,171.89765772024018,175.4235169852956,47062900
2020-02-13,173.65585327148438,176.03792733610268,172.86181415957822,173.0603275434798,35295800
2020-02-14,175.2061309814453,175.26284498070825,172.65388562499024,173.2210544650253,23149500
2020-02-18,176.98318481445312,177.42746358818,175.34786910349823,175.45184954891727,27792200
2020-02-19,177.51400756835938,178.36706995832807,176.7462485247681,178.25333216315812,29997500
2020-02-20,174.80320739746094,177.48563556100459,171.6563400981804,177.20127650994195,36862400
2020-02-21,169.2771759033203,173.93114068656777,168.00705551331956,173.61834725384844,48572600
2020-02-24,161.97872924804688,165.44787749750017,154.7181659403322,159.0214301307952,68311100
2020-02-25,159.3057861328125,165.72274558384058,158.9076748317135,165.11611976454265,68073300
2020-02-26,161.29624938964844,164.2251136153781,159.43846438675976,160.86024482213514,56206100
2020-02-27,149.9314727783203,158.3199827709648,149.74190495438836,154.8034540782687,93174900
2020-02-28,153.56175231933594,155.17311496563838,144.07374325016832,144.46236668665765,97012700
2020-03-02,163.77963256835938,163.9028581761286,153.84612995671205,156.68969102388243,71030800
2020-03-03,155.93141174316406,165.87440256658573,153.79874085302225,164.73698098446346,71677000
2020-03-04,161.6564483642578,161.79862063132381,156.98352219099715,159.70387209335476,49814400
2020-03-05,157.5996551513672,161.95977394730102,157.0498982125775,157.3911261586159,47817300
2020-03-06,153.1447296142578,154.60441795195356,147.86517755045685,154.1304911008303,72821100
2020-03-09,142.76573181152344,149.5239338956656,142.17806709572008,143.1259208763582,70419300
2020-03-10,152.5286407470703,152.6329052497374,144.62354306046413,149.91256931165373,65354400
