Date,Close,High,Low,Open,Volume
2020-01-02,208.08888244628906,208.08888244628906,205.99027304980757,206.39458905704603,30969400
2020-01-03,206.18280029296875,207.42464165672527,205.31641095610559,205.33566829598263,27518900
2020-01-06,207.5112762451172,207.54015491021366,204.31524823238857,204.56553489290675,21655300
2020-01-07,207.48240661621094,208.06963064715757,206.82780392678688,207.5882999558586,22139300
2020-01-08,209.0419158935547,209.99495596195464,207.12622911991602,207.45353046860188,26397300
2020-01-09,210.813232421875,211.21754846089803,209.5810269632197,210.76509641243345,23547000
2020-01-10,210.2740936279297,211.66032820349986,209.8986563211332,211.64108555426068,21898500
2020-01-13,212.7000274658203,212.7289061318919,210.80358338553634,211.1405207417673,22756900
2020-01-14,211.8625030517578,212.95031503349864,211.53520173144415,212.59412035993765,24418100
2020-01-15,211.9491729736328,212.94071310739938,211.2560555437506,211.97805164245722,25742100
2020-01-16,213.98036193847656,214.01887661802502,212.5556272651574,213.00807927105038,18805000
2020-01-17,215.03929138183594,215.21256336951552,213.82632871189446,214.943019373761,24325200
2020-01-21,214.94302368164062,215.48211168395406,214.34617834894308,214.44243566990113,21146300
2020-01-22,215.51095581054688,216.74316095808442,215.2414118525883,216.03080107878418,20736400
2020-01-23,216.20408630371094,216.30035830419158,214.3846571313682,215.38583305580516,26496100
2020-01-24,214.38465881347656,217.44592924643237,213.39311889473478,217.21488525689296,37436500
2020-01-27,209.95645141601562,211.0923847858952,209.07079002611857,209.54249938714563,42264400
2020-01-28,213.1813507080078,213.67231739217365,210.8805906940185,211.43893603364953,26731900
2020-01-29,213.52793884277344,214.60611499136584,212.58453471275507,214.36544962326587,28924500
2020-01-30,214.28842163085938,214.38467895209246,211.48707358685505,212.15131226626292,39568100
2020-01-31,210.89022827148438,215.21256831716073,210.1393389071386,215.18368965188355,52015800
2020-02-03,214.07664489746094,214.56759691896625,211.77588475981935,211.9202780928953,25408600
2020-02-04,218.97653198242188,219.35196924167442,216.26182050087004,217.003073695974,30691200
2020-02-05,219.69857788085938,221.6527792765561,218.37973651139174,221.6142792851392,38534800
2020-02-06,221.59500122070312,221.6527585469502,219.46751333998242,220.2472666224085,22467100
2020-02-07,220.6419677734375,221.8356730775583,220.00660778790325,220.60346778448653,25884900
2020-02-10,223.30856323242188,223.3181845582399,219.85261237668485,219.91036970968705,21478900
2020-02-11,223.3470458984375,225.2820045381875,222.75982191005775,224.54075121438615,30198000
2020-02-12,225.52268981933594,225.62858316067638,224.10757638917133,224.66592176268944,24471300
2020-02-13,225.23385620117188,226.15800278500447,223.68397098484598,223.9535149625509,22773200
2020-02-14,225.8788604736328,226.09064714753535,224.82956311869074,225.59005912839783,23438500
2020-02-18,225.9654998779297,226.38907323212206,224.54076515941188,224.78143050256236,24394500
2020-02-19,228.13148498535156,228.6031943398197,227.04368763707714,227.3132316427599,22230500
2020-02-20,226.01364135742188,228.10261482386827,223.2219291848919,227.6309201408609,42604000
2020-02-21,221.67202758789062,225.27237154511687,220.75750226626002,224.88731289044486,66017200
2020-02-24,213.12359619140625,215.87680824645918,212.0357841628467,213.40276152038396,84522600
2020-02-25,207.32835388183594,215.6265040523048,206.72188726776398,214.9141294214852,97743000
2020-02-26,208.39691162109375,212.0550274551949,206.8759050225816,208.61833429356105,79537700
2020-02-27,197.96165466308594,208.33914154282516,197.82688267850665,203.02524744261598,121822600
2020-02-28,198.11569213867188,199.4345333769781,190.77058195419983,191.22303392584632,148173700
2020-03-02,208.33917236328125,208.48358038250777,198.25048529776444,201.08071208166103,112933900
2020-03-03,201.6582794189453,211.41004281801688,199.86772886303666,209.003389634755,131953500
2020-03-04,210.07196044921875,210.17785378501702,203.47772434251434,205.35492572157884,73086200
2020-03-05,203.68948364257812,208.28138176652772,202.25512782838513,204.74841685826274,78705500
2020-03-06,200.2528076171875,201.34060489697507,195.33360778961634,197.02788638852982,89828400
2020-03-09,186.34237670898438,193.6489733060806,184.93688458324715,186.25572601816444,116424000
2020-03-10,196.48880004882812,196.67170804748878,186.44823497394106,193.6008161265127,100599200
2020-03-11,187.93072509765625,193.2542404848296,185.53369336473233,191.9065206484735,89168800
2020-03-12,170.69908142089844,183.65649221726696,170.3332654850072,175.29096451016986,137820700
2020-03-13,185.1582794189453,187.21837410798133,171.47886994366365,180.08506471110036,134882000
2020-03-16,162.97857666015625,177.78429888571935,162.8438046527912,167.64747559955362,92054400
2020-03-17,175.339111328125,177.50509903983192,163.44061824425333,168.91816285210587,121257100
2020-03-18,170.0059814453125,172.5281492023074,160.5718983230018,165.202296553107,114156300
2020-03-19,171.0264129638672,176.6387302000776,165.22156640222326,169.12996899580284,120896500
2020-03-20,164.32626342773438,176.04184843522285,163.74867552282853,174.95405127091365,118983900
2020-03-23,164.44496154785156,168.06263479386743,159.11008585833804,164.88872122263345,124639800
2020-03-24,177.1791534423828,177.34315284922098,171.67063696878748,173.5614805023816,94881800
2020-03-25,175.8671112060547,182.8226808593636,173.62897089197364,177.91229722245237,88754900
2020-03-26,185.1283721923828,185.9194437189423,177.13090991327815,177.38172993078925,79887600
2020-03-27,178.76129150390625,183.78743713744916,178.14387587751088,180.33376341717982,58845000
2020-03-30,185.263427734375,185.69756024276714,179.76456807167224,180.45916242068188,49356900
2020-03-31,183.68130493164062,188.36016773929651,182.5236525554176,184.95473284972996,62659300
2020-04-01,175.8767547607422,181.03797314721095,174.47792441087148,178.24995427430997,53715400
2020-04-02,179.44622802734375,183.39191468551573,174.5840818460189,174.84455843155314,56465300
2020-04-03,176.89938354492188,180.46883272396678,174.89277913043884,179.00246512870046,47487600
2020-04-06,189.54673767089844,190.6754497068659,182.513988917456,183.75846176110826,64763500
2020-04-07,189.46957397460938,195.50868507557513,189.08369477137842,195.22891014093685,69904500
2020-04-08,193.492431640625,194.07125042343827,189.2476869649236,191.15781397279812,45940400
2020-04-09,193.77223205566406,196.04895506935992,192.00680569704667,195.2096595639199,68252600
2020-04-13,195.86563110351562,196.24186849228946,191.73666165530844,192.9425526091154,42853900
2020-04-14,204.3840789794922,205.00149465693906,199.13603836101842,199.91745346774871,63959600
2020-04-15,202.039794921875,204.35511447733495,199.8113107060023,201.1233207046582,47036000
2020-04-16,205.7249755859375,206.8054490590431,202.29060085755438,204.22002618544127,64657400
2020-04-17,207.6930389404297,208.8699898853912,204.59631869764576,208.54199102410055,62863200
2020-04-20,205.2329864501953,208.2621837593495,205.06898705655595,205.8311036176268,38249100
2020-04-21,197.6599578857422,203.708709821561,196.444425346822,203.1684731375965,72932800
2020-04-22,203.52549743652344,204.8568060520333,200.97865577229925,201.72148888446725,40089100
2020-04-23,203.0913848876953,206.8730580813647,202.6862071941256,204.3165597990779,43278500
2020-04-24,206.294189453125,206.73796383493092,202.10733927501343,203.5254683224947,34231900
2020-04-27,207.95350646972656,208.98575631914073,206.93091317015575,208.56128029584335,36451700
2020-04-28,204.0367431640625,209.65137833959244,203.75698294826117,209.65137833959244,46862800
2020-04-29,211.27207946777344,212.2078519562859,207.54828788925357,208.56123915953842,48716400
2020-04-30,211.18527221679688,212.27538761746118,209.68032267790934,212.18856700260577,43359500
2020-05-01,205.2329864501953,209.02430032042034,204.21037861636245,206.93087551406245,48795000
2020-05-04,207.62550354003906,207.84738337681773,203.67017491383618,203.99818847470257,32841000
2020-05-05,209.9793701171875,212.3718534949346,209.19795518431812,209.76713214525415,37783100
2020-05-06,211.27207946777344,213.24008688175323,210.41348576103337,211.65795865628792,36455200
2020-05-07,213.9925994873047,214.87047694425198,212.64199274061437,213.9925994873047,38624800
2020-05-08,216.9253387451172,217.06039795947797,214.62931738063372,215.66156722780917,31852300
2020-05-11,218.86441040039062,219.88700371674187,215.372154421074,215.60369081585847,35714100
2020-05-12,214.28199768066406,220.0509906955732,214.25305747493283,219.46251531178982,41054100
2020-05-13,211.60011291503906,216.6841537545293,209.06292813022924,214.80296664173116,65521200
2020-05-14,214.0022430419922,214.0408250771921,208.3683238004577,210.27845103036063,51549300
2020-05-15,215.39146423339844,215.4493446550791,210.62577991033731,211.0598977932938,55747200
2020-05-18,219.40460205078125,220.6104929244377,217.5137734042826,218.29518833515635,42398100
2020-05-19,218.8547821044922,221.7392791464436,218.71008104902285,219.6651374558235,36237300
2020-05-20,223.22483825683594,223.5817771928654,221.38223373776006,221.4015321106211,37417000
2020-05-21,220.7938232421875,223.94843835442734,220.282526614009,223.27314230969628,43642900
2020-05-22,221.55596923828125,221.75855070488282,219.47218583113226,220.38866014657674,28762400
2020-05-26,220.95787048339844,225.3280341423928,220.71669222091117,225.1254379249482,33055300
2020-05-27,222.16372680664062,222.2795023642407,216.03780873646346,220.62019500202894,55665600
2020-05-28,221.87429809570312,225.2314944563368,220.96746572510492,221.02534613678586,42784300
2020-05-29,225.1254119873047,225.35694839194326,220.68772658068178,222.25057155137748,50691800
2020-06-01,225.80064392089844,226.17688127127835,223.81333818707904,224.2571124897475,25776000
2020-06-02,227.31529235839844,227.37317277383752,223.8230218499596,226.22516213312986,33383400
2020-06-03,228.337890625,229.09036548290538,227.04517891735227,227.9230564380085,37228700
2020-06-04,226.7364501953125,229.39905224734326,225.43408201574843,227.9905797903836,38716100
2020-06-05,231.2320098876953,231.82048527560306,227.31527833422862,227.88445534473067,47365600
2020-06-08,233.02633666992188,233.1517393008827,229.51478331643764,231.08725487966416,32937300
2020-06-09,234.71466064453125,235.5635980197167,231.98452126488604,232.1678190782725,35046300
2020-06-10,237.5316162109375,239.07516277023902,235.88195064167962,236.40290386159305,58084400
2020-06-11,225.76211547851562,234.9944102155441,225.7042350601566,233.61487784348546,72919400
2020-06-12,227.5564727783203,231.91696428101858,223.56256215041086,230.6531927971664,72034800
2020-06-15,230.32521057128906,231.00050667392003,223.30210166322507,224.2378743769962,45307400
2020-06-16,234.280517578125,235.76616886523365,230.66284445134943,235.1776934477975,48890100
2020-06-17,235.0233154296875,236.83698011008477,234.16472167105553,235.77579019701227,34749300
2020-06-18,235.66001892089844,235.90119709768177,233.9331896520828,234.70494804151127,30578600
2020-06-19,235.62149047851562,238.28409285645162,233.89464609660467,238.02361624458638,49422100
2020-06-22,238.44715881347656,238.5727795309669,235.20008666743954,235.48999197391447,24068700
2020-06-23,240.47654724121094,242.7089063683665,239.49083979931433,240.04167457614537,32767400
2020-06-24,235.51902770996094,240.95013742753912,234.02111953368293,239.72281740293025,46032400
2020-06-25,237.7610321044922,238.06061077313754,233.03538357528126,235.60598561260514,36940800
2020-06-26,232.1463165283203,237.69340305450055,231.62445742433064,237.51944510452128,52824600
2020-06-29,234.67825317382812,234.68792651572807,229.37277904446836,231.90471730298324,34377800
2020-06-30,239.27828979492188,239.8194661067416,234.42700543519746,234.61062198655384,38909200
2020-07-01,242.07113647460938,243.06651740639933,238.77574167335084,239.3169179377088,34689200
2020-07-02,243.71397399902344,245.72406760806473,243.25011078030494,244.51607972373313,31956500
2020-07-06,249.70562744140625,250.22745701870588,246.84509064810896,246.86442258480614,34589000
2020-07-07,247.98544311523438,252.11194927639178,247.68586443037847,249.45437549713066,36578200
2020-07-08,251.25181579589844,251.28080632650773,247.8791229368149,249.30939126129002,30426300
2020-07-09,253.36825561523438,254.03506742327934,248.9711906126401,253.16532186684177,40312900
2020-07-10,255.09808349609375,255.34935444580196,250.54639281943676,253.22328369879898,32885300
2020-07-13,249.85052490234375,260.7224144059096,249.02908735258566,257.93920597429474,64108100
2020-07-14,251.61907958984375,252.02497655986264,244.26484759243948,247.32830358402757,72230500
2020-07-15,252.13125610351562,253.86110322281544,248.83586121367767,253.02999212113633,54523900
2020-07-16,250.41102600097656,251.04884707734107,247.02866027266967,249.34799087370237,47594100
2020-07-17,250.70098876953125,251.56106081504362,248.5266105583892,250.86525860780247,35137900
2020-07-20,257.8135986328125,258.44174641866147,250.09214970564088,251.3387719370994,40610100
2020-07-21,255.1270751953125,259.3888605586253,254.2863202343949,259.37918721685526,43243800
2020-07-22,256.0257263183594,256.9534820637487,253.72571312389627,255.6198589851517,29865500
2020-07-23,249.33836364746094,256.32534644289126,247.9274126154365,255.61990041876967,51363500
2020-07-24,246.97073364257812,248.29468380070477,242.87324769475924,245.50181607372636,54054500
2020-07-27,251.37750244140625,251.7640527588655,247.8308656765466,248.61363965426872,36445700
2020-07-28,248.17872619628906,251.11656138758613,247.88882086144542,250.59470229297185,31302400
2020-07-29,251.03921508789062,251.89931667086722,249.24174316088272,249.71526500343768,27556900
2020-07-30,252.3535614013672,252.91405492696524,247.92747630088294,249.07748337992373,41774500
2020-07-31,256.8569030761719,257.01152907342157,252.0829323192016,256.9728652011358,53686300
2020-08-03,260.3262939453125,261.0704040599255,258.8670347613304,258.9926702529182,32081600
2020-08-04,261.2926330566406,261.3892779920553,259.079590850786,259.8237008188815,24911300
2020-08-05,261.9401550292969,262.39435978177585,260.88679283565415,261.7758851460875,21612100
2020-08-06,265.409423828125,265.7379929634665,261.10897555802075,261.7467966414092,28048200
2020-08-07,262.3459777832031,265.6413722686258,260.20059012229626,264.86824232800205,44969400
2020-08-10,261.22491455078125,262.8387990496852,257.70726980164903,262.6358358875512,35088400
2020-08-11,256.277099609375,261.3506497453629,255.73592328755478,260.0653338621166,43104300
2020-08-12,262.72283935546875,263.6699124180775,258.38375656795273,258.4320937756136,38773400
2020-08-13,263.3221130371094,265.5931072822826,262.3847130048665,263.49605626159166,31895700
2020-08-14,263.01287841796875,264.211193366399,261.6212735460296,263.9406051686276,30799500
2020-08-17,266.0665588378906,266.5690711283914,263.05142611110864,264.7232622942126,24803000
2020-08-18,268.6275329589844,269.10105480398965,265.6703807791961,267.1296396787266,23529500
2020-08-19,266.8203125,269.6421550764556,266.3081269266915,268.5887934065149,31999400
2020-08-20,270.52166748046875,271.0048626981277,265.6220608953523,266.0279578546199,27723400
2020-08-21,272.39654541015625,272.8507502247016,270.0675402540328,270.71503500783723,34748900
2020-08-24,274.0973205566406,276.38766114180476,271.8166238212234,275.6628683241252,36418500
2020-08-25,276.2524108886719,276.4457008111197,272.87971703283785,273.3242484641861,34866600
2020-08-26,282.1473083496094,282.39857926912845,276.2233309949189,277.49897328985776,42216700
2020-08-27,281.2679748535156,283.9738862529021,279.0066243682811,283.1234577985778,49482700
2020-08-28,282.69818115234375,283.3263290108986,281.1519506215127,282.50489127652946,28021000
