generation,best_fitness,avg_fitness,mutation_rate
0,0.5966276672633508,0.18932427090420484,0.15
1,0.6828882439183381,0.2598102867838596,0.1425
2,0.6828882439183381,0.31258212872878893,0.135375
3,0.7026085016758903,0.30082226086423375,0.12860624999999998
4,0.7026085016758903,0.34290393865065033,0.12217593749999997
5,0.7653330103154782,0.35973424672844306,0.11606714062499997
6,0.8066702240789937,0.3977217005641857,0.11026378359374997
7,0.8066702240789937,0.4322747780845947,0.10475059441406247
8,0.8803783670053652,0.42133063773358276,0.09951306469335934
9,0.8803783670053652,0.43545199808453183,0.09453741145869136
10,0.8803783670053652,0.44414537349367017,0.0898105408857568
11,0.8916945617646381,0.4619737239238407,0.08532001384146895
12,0.9140891957368806,0.37025555550876504,0.0810540131493955
13,0.9300715450001977,0.3668745258398785,0.07700131249192572
14,0.9485213153787481,0.5046189942721924,0.07315124686732943
15,0.9596773161741843,0.5332224551628209,0.06949368452396296
16,0.9734316085929051,0.5334422873318307,0.06601900029776481
17,0.9921114880300579,0.657857219067081,0.06271805028287657
18,1.0,0.6303407563854544,0.05958214776873273
19,1.0,0.5523228222119745,0.056603040380296094
20,1.0,0.5676243710153841,0.05377288836128129
21,1.0,0.6002599883005829,0.05108424394321722
22,1.0,0.5500157030157029,0.04853003174605636
23,1.0,0.6540816999241373,0.046103530158753535
24,1.0,0.6057466329069747,0.04379835365081586
25,1.0,0.6636731648748189,0.04160843596827506
26,1.0,0.4856116635022633,0.039528014169861306
27,1.0,0.6224692186247758,0.03755161346136824
28,1.0,0.6168362488141101,0.03567403278829983
29,1.0,0.7526623308010807,0.03389033114888484
30,1.0,0.6922572351766998,0.032195814591440594
31,1.0,0.8120952750391408,0.030586023861868563
32,1.0,0.6769334101617018,0.029056722668775133
33,1.0,0.7810513903320618,0.027603886535336374
34,1.0,0.828482199761971,0.026223692208569554
35,1.0,0.6820360001656609,0.024912507598141075
36,1.0,0.76845757676417,0.02366688221823402
37,1.0,0.8319294746828397,0.02248353810732232
38,1.0,0.8172357228717724,0.021359361201956202
39,1.0,0.8233450563171567,0.02029139314185839
40,1.0,0.8610656659886822,0.01927682348476547
41,1.0,0.7815088748673062,0.018312982310527196
42,1.0,0.8501864591179532,0.017397333195000836
43,1.0,0.8822247599268996,0.026095999792501254
44,1.0,0.8027851817591902,0.02479119980287619
45,1.0,0.7953384169167063,0.023551639812732377
46,1.0,0.8800080947427292,0.02237405782209576
47,1.0,0.7596783495024454,0.02125535493099097
48,1.0,0.8666312092331854,0.02019258718444142
49,1.0,0.883080523993615,0.019182957825219348
50,1.0,0.7983575154210096,0.01822380993395838
51,1.0,0.8088768288566902,0.017312619437260462
52,1.0,0.8314798406839966,0.01644698846539744
53,1.0,0.7929099185553812,0.015624639042127566
54,1.0,0.7819071379762977,0.014843407090021188
55,1.0,0.8326617973767492,0.014101236735520127
56,1.0,0.8774345788754707,0.01339617489874412
57,1.0,0.8920841976166872,0.012726366153806913
58,1.0,0.8977400877715528,0.012090047846116567
59,1.0,0.8513119186184764,0.011485545453810739
60,1.0,0.8682735306374013,0.010911268181120202
61,1.0,0.8651246089121636,0.010365704772064192
62,1.0,0.825826432228057,0.01
63,1.0,0.8718365080749109,0.01
64,1.0,0.8689213126763266,0.01
65,1.0,0.8661889817273031,0.01
66,1.0,0.8778299929303615,0.01
67,1.0,0.8801192204529931,0.01
68,1.0,0.7763317968512972,0.015
69,1.0,0.8424155035708665,0.014249999999999999
70,1.0,0.8694513620145771,0.013537499999999997
71,1.0,0.8098180896544973,0.012860624999999997
72,1.0,0.8590316519913089,0.012217593749999997
73,1.0,0.805618164885407,0.011606714062499997
74,1.0,0.8730153943167048,0.011026378359374997
75,1.0,0.9240915725462243,0.010475059441406247
76,1.0,0.8963055188432033,0.01
77,1.0,0.9087959458972487,0.01
78,1.0,0.8691547145510947,0.01
79,1.0,0.897059880047583,0.01
80,1.0,0.8576525693214884,0.01
81,1.0,0.9106520471757775,0.01
82,1.0,0.9276487826237301,0.01
83,1.0,0.9393990192383194,0.01
84,1.0,0.9391972337160525,0.01
85,1.0,0.8975504655860542,0.01
86,1.0,0.9218787570037663,0.01
87,1.0,0.9049585341002326,0.01
88,1.0,0.8830165147657546,0.01
89,1.0,0.874237899024582,0.01
90,1.0,0.8661951673034125,0.01
91,1.0,0.9208527441012597,0.01
92,1.0,0.9248725513374935,0.01
93,1.0,0.8165765602422195,0.015
94,1.0,0.8935630144762248,0.014249999999999999
95,1.0,0.8711381927236646,0.013537499999999997
96,1.0,0.8597099101313358,0.012860624999999997
97,1.0,0.8795489773849026,0.012217593749999997
98,1.0,0.8678301449000585,0.011606714062499997
99,1.0,0.8999686949015469,0.011026378359374997
100,1.0,0.8718434711433029,0.010475059441406247
101,1.0,0.8393882232510462,0.01
102,1.0,0.8716897944353135,0.01
103,1.0,0.9011148617467643,0.01
104,1.0,0.9406445940042172,0.01
105,1.0,0.9032757019546348,0.01
106,1.0,0.9429098205341415,0.01
107,1.0,0.8779280931233865,0.01
108,1.0,0.9380247275681384,0.01
109,1.0,0.9122603162660603,0.01
110,1.0,0.9133799020881891,0.01
111,1.0,0.9318787303634148,0.01
112,1.0,0.9122202770978455,0.01
113,1.0,0.9107608430953253,0.01
114,1.0,0.8562024170866903,0.01
115,1.0,0.886723178624665,0.01
116,1.0,0.8702886343069226,0.01
117,1.0,0.8816076980378006,0.01
118,1.0,0.8865904844997582,0.015
119,1.0,0.836013937817657,0.014249999999999999
120,1.0,0.8305797439075505,0.013537499999999997
121,1.0,0.8760630462865375,0.012860624999999997
122,1.0,0.8556731550414489,0.012217593749999997
123,1.0,0.7631935805824186,0.011606714062499997
124,1.0,0.8413580606006118,0.011026378359374997
125,1.0,0.8414239823586985,0.010475059441406247
126,1.0,0.8732838570996313,0.01
127,1.0,0.7993742555016151,0.01
128,1.0,0.9100070628012453,0.01
129,1.0,0.8689401219114941,0.01
130,1.0,0.9498947649697105,0.01
