generation,best_fitness,avg_fitness,mutation_rate
0,1.0264475034019693,0.4718333840610758,0.12
1,1.040201685692119,0.5122869385568184,0.11399999999999999
2,1.106818181818182,0.5860569396095013,0.10829999999999998
3,1.1498712408215521,0.5753448926935983,0.10288499999999998
4,1.1717391304347826,0.6285449608456399,0.09774074999999997
5,1.1859947333061152,0.5249385548065418,0.09285371249999998
6,1.1960000000000002,0.6469394350996105,0.08821102687499997
7,1.1960000000000002,0.5678054192388162,0.08380047553124997
8,1.1960000000000002,0.7189196448207436,0.07961045175468748
9,1.2026315789473685,0.7411705670596089,0.0756299291669531
10,1.209090909090909,1.0122829057898917,0.07184843270860544
11,1.223529411764706,1.0713004502928427,0.06825601107317517
12,1.225,0.9912911844761001,0.0648432105195164
13,1.2295454545454545,0.9769970639358834,0.061601049993540574
14,1.25,1.0291570588989143,0.058520997493863545
15,1.25,0.9941376885029677,0.055594947619170366
16,1.25,1.0487312066606227,0.052815200238211846
17,1.25,0.870085273142972,0.05017444022630125
18,1.25,0.8303427251156179,0.047665718214986184
19,1.25,0.8298619207301908,0.045282432304236876
20,1.25,0.8187050860408966,0.04301831068902503
21,1.25,0.8381045961886863,0.04086739515457378
22,1.25,0.9080944483220128,0.03882402539684509
23,1.25,0.8902551221575145,0.03688282412700283
24,1.25,0.8939625650375744,0.03503868292065269
25,1.25,0.9014377474611263,0.033286748774620054
26,1.25,0.884735184688455,0.03162241133588905
27,1.25,0.7815030433245224,0.030041290769094595
28,1.25,0.894245790988668,0.028539226230639866
29,1.25,0.9333469717194112,0.02711226491910787
30,1.25,0.7319255312989872,0.025756651673152477
31,1.25,0.8903046391844485,0.024468819089494852
32,1.25,0.8714917937387339,0.023245378135020107
33,1.25,0.8371447982572473,0.0220831092282691
34,1.25,0.9068489657310292,0.020978953766855647
35,1.25,1.0613423203520502,0.019930006078512863
36,1.25,1.073416824328035,0.01893350577458722
37,1.25,1.0111563762472746,0.01798683048585786
38,1.25,1.0320229466472466,0.017087488961564964
39,1.25,1.01899001432904,0.025631233442347447
40,1.25,0.9683359794880955,0.024349671770230074
41,1.25,1.025680527145824,0.02313218818171857
42,1.25,0.9552712295690886,0.02197557877263264
43,1.25,1.0428067813410347,0.02087679983400101
44,1.25,1.070667217814414,0.01983295984230096
45,1.25,0.9836467017711913,0.01884131185018591
46,1.25,0.9624545863996559,0.017899246257676613
47,1.25,1.0098401580031051,0.01700428394479278
48,1.25,1.0841345134212887,0.01615406974755314
49,1.25,1.0338373038390238,0.015346366260175484
50,1.25,0.9941369975524487,0.01457904794716671
51,1.25,0.9996291987161666,0.013850095549808372
52,1.25,1.1369731955876687,0.013157590772317953
53,1.25,1.0400464262770484,0.012499711233702054
54,1.25,1.17645083979031,0.011874725672016952
55,1.25,1.0882710839460163,0.011280989388416103
56,1.25,1.0484772141852348,0.010716939918995298
57,1.25,1.0766413858316277,0.010181092923045533
58,1.25,1.0318539393070005,0.01
59,1.25,1.091693133624609,0.01
60,1.25,1.0735275783039724,0.01
61,1.25,1.0731860053729885,0.01
62,1.25,1.1437117813638307,0.01
63,1.25,1.1291112790253643,0.01
64,1.25,1.0736934681917432,0.015
65,1.25,1.0058763091647738,0.014249999999999999
66,1.25,1.0095982946512596,0.013537499999999997
67,1.25,1.0633188027036393,0.012860624999999997
68,1.25,1.0682307682420913,0.012217593749999997
69,1.25,1.1526103802397538,0.011606714062499997
70,1.25,1.0193070580228651,0.011026378359374997
71,1.25,1.125414696516134,0.010475059441406247
72,1.25,1.0150646065956754,0.01
73,1.25,1.1499433188628572,0.01
74,1.25,1.105170831463219,0.01
75,1.25,1.1533545935509202,0.01
76,1.25,1.0785993838387655,0.01
77,1.25,1.1278059650748284,0.01
78,1.25,1.1071839725441828,0.01
79,1.25,1.070351099701489,0.01
80,1.25,1.167677193949696,0.01
81,1.25,1.05503619658772,0.01
82,1.25,1.123977827671807,0.01
83,1.25,1.0265398925519709,0.01
84,1.25,1.028227285459667,0.01
85,1.25,1.0311729555022224,0.01
86,1.25,1.0989453125,0.01
87,1.25,1.1894908821557664,0.01
88,1.25,1.1384858796876112,0.01
89,1.25,1.1487999458326716,0.015
90,1.25,1.1053230551598459,0.014249999999999999
91,1.25,1.057481786977985,0.013537499999999997
92,1.25,1.1067453473550348,0.012860624999999997
93,1.25,0.9803528907871879,0.012217593749999997
94,1.25,1.04084512252682,0.011606714062499997
95,1.25,1.1647481150512178,0.011026378359374997
96,1.25,1.1028484026933731,0.010475059441406247
97,1.25,1.167529132142505,0.01
98,1.25,1.0663546126070642,0.01
99,1.25,1.0534840585159275,0.01
100,1.25,1.0362522866482502,0.01
101,1.25,1.028909535522613,0.01
102,1.25,1.0929576895296056,0.01
103,1.25,1.0723486292275102,0.01
104,1.25,1.0577489390561048,0.01
105,1.25,1.0316464531622842,0.01
106,1.25,1.1089106926512977,0.01
107,1.25,1.135571510360539,0.01
108,1.25,1.183287479014331,0.01
109,1.25,1.10856053184808,0.01
110,1.25,1.0119445099620477,0.01
111,1.25,1.153465677459917,0.01
112,1.25,1.1807283208135566,0.01
113,1.25,1.1614197600104985,0.01
114,1.25,1.087123235551183,0.015
115,1.25,1.0446165334430604,0.014249999999999999
116,1.25,1.0744526247320119,0.013537499999999997
117,1.25,1.1426637639960524,0.012860624999999997
118,1.25,1.0935127548401438,0.012217593749999997
119,1.25,1.0534859994221073,0.011606714062499997
120,1.25,1.1128733248695397,0.011026378359374997
121,1.25,1.1798415662934763,0.010475059441406247
122,1.25,1.1491037556636037,0.01
123,1.25,1.1078186094375932,0.01
124,1.25,1.1522797222716563,0.01
125,1.25,1.1444672649091892,0.01
126,1.25,1.1510715755474323,0.01
127,1.25,1.133105592099238,0.01
128,1.25,1.1098362596231581,0.01
129,1.25,1.1717572351180756,0.01
130,1.25,1.0013758241016113,0.01
131,1.25,1.1052472362994616,0.01
132,1.25,1.0966042807969012,0.01
133,1.25,1.2039385994220893,0.01
134,1.25,1.1286726601768795,0.01
135,1.25,1.1486651830025636,0.01
136,1.25,1.170345537573861,0.01
137,1.25,1.0764744987489456,0.01
138,1.25,1.1479521548648264,0.01
139,1.25,1.1102212574878243,0.015
140,1.25,1.0561435175684968,0.014249999999999999
141,1.25,1.0418225833417896,0.013537499999999997
142,1.25,1.148810779799717,0.012860624999999997
143,1.25,1.1506550058167235,0.012217593749999997
144,1.25,1.1743346049211767,0.011606714062499997
145,1.25,1.0731149752454527,0.011026378359374997
146,1.25,1.1131495505099964,0.010475059441406247
147,1.25,1.138816103930079,0.01
148,1.25,1.1499960361389976,0.01
149,1.25,1.2240944559645885,0.01
150,1.25,1.124996769119497,0.01
151,1.25,1.1131877981623854,0.01
152,1.25,1.077292856246672,0.01
153,1.25,1.0539399733342791,0.01
154,1.25,1.1138696235728849,0.01
155,1.25,1.1342939707897768,0.01
156,1.25,1.178750953553635,0.01
157,1.25,1.1480482529504135,0.01
158,1.25,1.0765446054214636,0.01
159,1.25,1.1853376634639878,0.01
160,1.25,1.1878156059590377,0.01
161,1.25,1.2290508241758242,0.01
162,1.25,1.1781758307699925,0.01
163,1.25,1.222281315286603,0.01
164,1.25,1.1297657387177646,0.015
165,1.25,1.0925518208284644,0.014249999999999999
166,1.25,1.130477962415408,0.013537499999999997
167,1.25,1.1642146884211713,0.012860624999999997
168,1.25,1.1149006006144357,0.012217593749999997
169,1.25,1.1080272411299252,0.011606714062499997
170,1.25,1.18936116253892,0.011026378359374997
171,1.25,1.1608983552912746,0.010475059441406247
172,1.25,1.1277115262670827,0.01
173,1.25,1.1459434607687389,0.01
174,1.25,1.1701105602678594,0.01
175,1.25,1.1896155734497014,0.01
176,1.25,1.2047584450833058,0.01
