Date,Close,Volume,SMA_20,SMA_50,SMA_200,RSI,MACD,Signal,BB_Upper,BB_Lower,Daily_Return,Volume_Change
2020-10-15,0.10877118769135563,0.12184964978316323,0.06153579869829118,0.0,0.0,0.6185516048040961,0.5243013318783679,0.5384235423812851,0.05023765320704865,0.1150829845533421,0.33407887445177453,0.1312266679143277
2020-10-16,0.10072992829092675,0.10820786565538965,0.06141542292626345,0.0030387107760539434,0.0017188059516708154,0.54097912288673,0.5211694259069002,0.5391875351915506,0.0499665953418737,0.1151306719105874,0.3508859735902031,0.1783649991332239
2020-10-19,0.0930116861547155,0.1247480284996251,0.060514539945001056,0.00604599539554973,0.00338224927771702,0.5154466364181602,0.5150155064206886,0.5384002776034544,0.04794082333444788,0.1154845646326001,0.35196600297784286,0.22946015210212942
2020-10-20,0.08524979951806799,0.10293483216343202,0.06040338522018818,0.00900907801282369,0.00499418938545898,0.45124537764523687,0.5065465810511073,0.5358459445284904,0.04787175427466206,0.11533498755221372,0.35057926125967526,0.1657679032269624
2020-10-21,0.08586098239414025,0.10629853394974512,0.06245561482252188,0.012176579557788947,0.006592500359650283,0.37679189768223953,0.4997103760462352,0.5322489797713988,0.044067692053244234,0.12352302985919461,0.409067835850136,0.20651289666450193
2020-10-22,0.08861122540148297,0.1421995275181137,0.0643000953420731,0.01463830480414069,0.00818368545904588,0.5277830511286636,0.49508708434177084,0.5283207847347285,0.040404284200041385,0.13114332997121825,0.4242688072170264,0.26427504818361214
2020-10-23,0.08410604982119646,0.11264020918815254,0.06494517980777653,0.016705427702851883,0.009760288894105462,0.4494997856488383,0.4893474422913899,0.5238739196413732,0.03941903778775324,0.13349222107881364,0.3729215633120319,0.15781950460442504
2020-10-26,0.0838004583831603,0.08684115339836554,0.06490052549792641,0.018637671937840217,0.011338292144466106,0.5116461675331674,0.4844787764213895,0.519210044107898,0.03944658896964809,0.13337305343306932,0.40253220935745804,0.1563186673695854
2020-10-27,0.08764209367384757,0.06068933750805367,0.0651728285770305,0.01987138568583474,0.012892274085881561,0.47160958532538233,0.4820072357441082,0.5149172966517083,0.039318585877637036,0.13405700174998997,0.4321817035085145,0.14704976060302163
2020-10-28,0.0713499853489169,0.07371131884238169,0.0640569174405336,0.020484512448588954,0.014342860712930894,0.37297496701436417,0.4733866935806278,0.5095241174154697,0.040437800119314804,0.1306188542132568,0.2894388808259496,0.23345490565392354
2020-10-29,0.07554960945865852,0.06054239338073223,0.0622449549995342,0.021237447853069358,0.015835705630681624,0.35238070239903674,0.4682452809959091,0.5040412100453721,0.03861942821898906,0.12892034569379496,0.43579576173884205,0.17058916865800478
2020-10-30,0.05565159410638576,0.1540591431273478,0.060931975641450586,0.020973221050310575,0.01722264719225053,0.22252278319580251,0.4562471123464459,0.4969283517307632,0.04185557667220824,0.12282456551455961,0.2591785767844239,0.43815589038045283
2020-11-02,0.06653917836310302,0.09052370510197547,0.059710249099769186,0.020769874176952252,0.018673107382575133,0.2741786770529968,0.4513305025193559,0.4901207865614562,0.04258621189615491,0.11958891801683358,0.48902543067737797,0.11430554334856433
2020-11-03,0.08696108759057558,0.11562948603465623,0.06019175663175824,0.02122132729601528,0.020201580812109238,0.3228474453067145,0.4558327153769623,0.48569784300783053,0.04266112521962995,0.12047648010052625,0.5579325952165792,0.25022181861328996
2020-11-04,0.08441160129174136,0.10522753732946005,0.05998206779615206,0.02157099952764452,0.02169412429536302,0.353008823692481,0.45847247499950716,0.4827593622289038,0.04253081927584201,0.12019431973923506,0.38664294060061083,0.1829506280459251
2020-11-05,0.09935041036321879,0.0876667721650145,0.060572788078191164,0.021730830317297,0.02326726682406849,0.46892442943818213,0.46661981115708445,0.4822600248396947,0.04348739678333402,0.12035942245107212,0.5113452700831687,0.16892358360120904
2020-11-06,0.0922433511030798,0.056071429917070766,0.06037620423932549,0.021349260421460348,0.024808018132899567,0.4717957109056825,0.4701690793217924,0.4826671109116498,0.043174874630820315,0.12029826699295271,0.3559678677309204,0.13634401850940076
2020-11-09,0.08465608243566852,0.11789628758849616,0.05935494326409635,0.02089009047377094,0.026313141041198307,0.4726216123149347,0.46988329933930933,0.4829278374926405,0.04149109989424493,0.12004488664029217,0.3516888399746406,0.36445475905714153
