feature,weight,threshold
Close,0.8966069121474339,0.7138606850640675
Volume,0.22965602999885526,0.8199161771269362
SMA_20,0.9343828643977834,0.3502978422487649
SMA_50,0.6931398817311498,0.7540905601855734
SMA_200,0.12183250462853112,0.09605983148018561
RSI,0.37520883349448525,0.6819787213942037
MACD,0.7947773428022624,0.2719517596908594
Signal,0.3663354885565363,0.5320292127699338
BB_Upper,0.07492169625946876,0.13522136200398605
BB_Lower,0.44739275179210947,0.7547381791361064
Daily_Return,0.010129337341458822,0.8768442933770757
Volume_Change,0.9482106963866065,0.25858987104909514
ATR,0.13105775155731325,0.3403443130636834
OBV,0.6333286264219223,0.27464507401436944
VWAP,0.8411200645043214,0.6701298132669277
Williams_R,0.6189623827680886,0.7301682164566863
Stoch_K,0.26253972560453875,0.5809633760673402
