feature,weight,threshold
Close,0.8779267289302558,0.39184173825029034
Volume,0.43438037261257745,0.2954007616355099
SMA_20,0.5525721418147843,0.1967101682090443
SMA_50,0.8192166890609336,0.9057055992926816
SMA_200,0.07416098280110184,0.21947345708116617
RSI,0.1545745729727644,0.5451309053737794
MACD,1.0,0.4037396201533084
Signal,0.5241869353662681,0.8731274865743963
BB_Upper,0.28528980669674897,0.45115006862912255
BB_Lower,0.6915243046080843,0.8923901527992678
Daily_Return,0.9237728124135095,0.8382250599504293
Volume_Change,0.35864863402345604,0.580894838686444
ATR,0.5057869876402049,0.6142262955066401
OBV,0.09687141183824742,0.7457136453445745
VWAP,0.21152197491840788,0.4536046335621568
Williams_R,0.15666325389003666,0.9615838318694395
Stoch_K,0.20803652792968896,0.15812734814957946
