feature,weight,threshold
Close,0.7929422954139866,0.5265509740426141
Volume,0.8669704306128478,0.6
SMA_20,0.3097914117081193,0.5430399456441835
SMA_50,0.4223066654285178,0.6
SMA_200,0.18719825451301472,0.38299665059765575
RSI,0.5914079900659871,0.5469402173301725
MACD,0.4065343684919644,0.031421355551107866
Signal,0.3031613582389599,0.27514823406311356
BB_Upper,0.9237833160931802,0.5526645004200336
BB_Lower,0.4006386309600639,0.5774537746699052
Daily_Return,0.21051218544840783,0.3836653509194401
Volume_Change,0.5193710027918018,0.2223325096705984
ATR,0.1370251252110926,0.4234794822650234
OBV,0.29693873781772273,0.46296888390509183
VWAP,0.6236744684546255,0.6
Williams_R,0.863032102680807,0.09346556818513777
Stoch_K,0.2072214181275452,0.6
