feature,weight,threshold
Close,0.9245237397512767,0.6
Volume,0.23961285113279812,0.27951406391775835
SMA_20,0.15292906214682686,0.6
SMA_50,0.29999558224535405,0.500681312783472
SMA_200,0.8927060787105903,0.6
RSI,0.008875905649084873,0.5802704928347796
MACD,0.5402085779679588,0.37891375855910925
Signal,0.0,0.18064967291337672
BB_Upper,0.4461828116359468,0.6
BB_Lower,0.380307786848377,0.4679701973699294
Daily_Return,0.009744664633977794,0.29687064499669613
Volume_Change,0.7413796565487261,0.5452725485550369
ATR,0.6578438794650868,0.5977608991863348
OBV,0.7573541159550797,0.10947420701798795
VWAP,0.26980628643449567,0.0
Williams_R,0.7178809509115097,0.5796395995110455
Stoch_K,0.8026518176247476,0.5611685732140914
