feature,weight,threshold
Close,0.15606583017727704,0.7427725862779632
Volume,0.8811437981786772,0.9532759785889648
SMA_20,0.5177166851004341,0.21687427718269864
SMA_50,1.0,0.47979850275515334
SMA_200,1.0,0.22295381806692952
RSI,0.18933830048730538,0.22015789115229967
MACD,0.655707919012112,0.4998688289715611
Signal,0.3827831627802557,0.5704491299106403
BB_Upper,0.7003861013100574,0.9454165724399485
BB_Lower,0.5585281265860399,0.31547268646431226
Daily_Return,0.12729753396447688,0.5040639065645509
Volume_Change,0.6860107766438039,0.74005891791635
