feature,weight,threshold
Close,0.31787002821108484,0.46255655230893855
Volume,0.7800771284555157,0.6
SMA_20,0.0,0.12486978042704971
SMA_50,0.9697937077507195,0.5891669204762375
SMA_200,0.4317832247562307,0.6
RSI,0.12705013444990002,0.5366193886571587
MACD,0.9195789469819788,0.4817512948583178
Signal,0.18600440554336492,0.0027367723963123286
BB_Upper,0.33893152865866827,0.6
BB_Lower,0.6190475782419158,0.5739258371389339
Daily_Return,0.9640844024256432,0.0
Volume_Change,0.7789612943749101,0.6
ATR,0.11529585351500395,0.4212965494679167
OBV,0.3415391222183569,0.04884817089323253
VWAP,0.27402830857544386,0.0
Williams_R,0.4957178626135218,0.5536342330597956
Stoch_K,0.6152942478254958,0.6
