feature,weight,threshold
Close,0.023985610036143745,0.23491410446665148
Volume,0.5223132828799815,0.16409322250385275
SMA_20,0.7851470147646193,1.0
SMA_50,0.9863780104135637,1.0
SMA_200,0.26743096304441905,1.0
RSI,0.6494263415688724,0.732548828041251
MACD,0.39030006919640464,0.4591477441333223
Signal,0.04847890962609258,0.30884387043065814
BB_Upper,0.6104683570044415,1.0
BB_Lower,0.5632623559387814,1.0
Daily_Return,0.4965457748746899,0.7847292372115652
Volume_Change,0.929165772046594,0.3353916924181832
ATR,0.8761856690211536,1.0
OBV,0.524040013560435,0.9544002366439653
VWAP,0.05913245691552729,0.1498303440446462
Williams_R,0.44854098679247595,0.2518920525761963
Stoch_K,0.3924728094633877,0.687776365325471
