feature,weight,threshold
Close,0.29048873684834325,0.014126574909854583
Volume,0.6482503210259523,0.08914592286056314
SMA_20,0.13158063807776924,0.49770500789719035
SMA_50,0.13067201995847835,0.9207025706399876
SMA_200,0.6152169970588721,0.5458105812807412
RSI,0.6943446122816943,1.0
MACD,0.5127320643001113,0.47159500965813866
Signal,0.07011741853661065,0.528508156459375
BB_Upper,0.3782053107396016,0.9675949012432014
BB_Lower,0.5161023950954432,0.7507481144518598
Daily_Return,0.8171992721309314,0.018679288055685105
Volume_Change,0.22553015850194377,0.8451004248143711
ATR,1.0,0.003366409216962408
OBV,0.2919873629780677,0.23360710693660927
VWAP,0.1224155496737003,0.7340656367793551
Williams_R,0.6462478782323274,0.29377755240994424
Stoch_K,0.513300959222893,0.2894110814574013
