feature,weight,threshold
Close,0.2370995143561897,0.47624200110630244
Volume,0.20298765437362903,0.46010501006567317
SMA_20,0.9914507631371994,0.9098435059142395
SMA_50,0.6362568589229918,0.0
SMA_200,0.7542170537976179,0.54161336895241
RSI,0.7649844275831349,1.0
MACD,0.5708547697908948,0.6582882489802176
Signal,0.4779168912572081,0.6249996494534578
BB_Upper,0.0732459861675514,0.014227661617364822
BB_Lower,0.1781341437417363,0.7120010268320515
Daily_Return,0.10095119929811347,0.2864968628154212
Volume_Change,0.7648129483558401,0.3976100553860072
ATR,0.9888073119637537,0.5012742243017281
OBV,0.0,0.9850455453358296
VWAP,0.126692685651133,1.0
Williams_R,0.08010583653374735,0.7781478936230847
Stoch_K,0.4992250367616061,0.5003156144194704
