feature,weight,threshold
Close,0.0,0.5283750169216128
Volume,0.26629250269169624,0.6402013726344145
SMA_20,0.9078987939840903,0.08990875290271161
SMA_50,0.472509195972777,0.33978988053527914
SMA_200,0.7195492134550013,0.9442093519665427
RSI,0.6695944219626772,0.7716481528401109
MACD,0.7652699168638124,0.4193120887665438
Signal,0.5344743216286695,0.44069007523314785
BB_Upper,0.2868530674354468,1.0
BB_Lower,0.5755116137070581,1.0
Daily_Return,0.29007836323225844,0.884811102161825
Volume_Change,0.0,0.5091429056503011
ATR,0.7789110017120908,0.5005505948862756
OBV,0.23838331727244932,0.08843887063322486
VWAP,0.6865902940484264,0.3696118649511309
Williams_R,0.023391666812446532,0.02841042738749544
Stoch_K,0.08055274550441993,0.4274729790180209
