feature,weight,threshold
Close,0.25604751562520967,0.7473751113812909
Volume,0.8675801582381721,0.6071014741551822
SMA_20,0.7972621922722275,0.65
SMA_50,0.2581904299318216,0.6873265343020908
SMA_200,0.15818900767196717,0.8331971245677015
RSI,0.49830671286282907,0.9922813617943527
MACD,0.2571504740307766,0.47591579382673016
Signal,0.4188831318964926,0.45554932119669445
BB_Upper,0.3530705793169989,0.6928816231688807
BB_Lower,0.35036240282325215,0.6826270087694721
Daily_Return,0.662440193417796,0.35164358140325286
Volume_Change,0.057328332316492654,0.13311000843592913
ATR,0.692619048094827,0.5633988857932074
OBV,0.5198058174845995,0.06238701542210136
VWAP,0.12818207318280406,0.4948629691520453
Williams_R,0.8322950492935833,0.6348585277023269
Stoch_K,0.5062055629868307,0.6458280624551779
