feature,weight,threshold
Close,0.19674218075063132,0.4524416120893417
Volume,0.512636598905721,0.6
SMA_20,0.43822584010612453,0.0
SMA_50,0.2685938002456618,0.5063348804713184
SMA_200,0.5312927548186049,0.6
RSI,0.9994089253876713,0.022334384599872664
MACD,0.2347277204728122,0.4810706941915555
Signal,0.0,0.10079126051354975
BB_Upper,0.24359674535860742,0.09789512361490081
BB_Lower,0.9589373184479761,0.5959557067748285
Daily_Return,0.8578236142261717,0.3511560755341312
Volume_Change,0.9252284016147845,0.2191562829361146
ATR,0.9697545881418026,0.6
OBV,0.17649437371324445,0.11549006366535497
VWAP,0.3299370735146213,0.3709674441589974
Williams_R,0.72104801473815,0.4746438896036781
Stoch_K,0.7980320590651632,0.5385144877548316
